TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
73,0.3700000000000002,296.07845872773436,-2446.9149336667488,-2150.8364749390144,-4333.599469721622,0.3947712783036458,0.041384324117571
74,0.3750000000000002,297.31255713971495,-2448.153867038873,-2150.841309899158,-4345.192655038717,0.39641674285295325,0.04179662639387226
75,0.3800000000000002,298.4427608077495,-2449.2873046744126,-2150.844543866663,-4356.259716617221,0.39792368107699927,0.042197482196619965
76,0.38500000000000023,299.4101100232349,-2450.25629596048,-2150.8461859372455,-4365.732185319515,0.39921348003097984,0.042587679533099616
77,0.39000000000000024,300.1806531246548,-2451.027000592105,-2150.8463474674504,-4372.917443609103,0.400240870832873,0.04296788094434487
78,0.39500000000000024,300.7434202713884,-2451.5887472741883,-2150.8453270028,-4377.494245029257,0.40099122702851786,0.04333860974599226
79,0.40000000000000024,301.10556729970835,-2451.949242089799,-2150.8436747900905,-4379.4351472783355,0.40147408973294446,0.04370025224620634
80,0.40500000000000025,301.2844876849378,-2452.1265213385045,-2150.842033653567,-4378.850851293355,0.40171265024658376,0.04405307222895331
81,0.41000000000000025,301.2986248134628,-2452.139549338888,-2150.840924525425,-4375.949226344823,0.40173149975128375,0.04439723175289401
82,0.41500000000000026,301.1601457980306,-2452.000670645236,-2150.8405248472054,-4370.9147288942595,0.4015468610640408,0.044732810485571706
83,0.42000000000000026,300.8727289352841,-2451.7132342391037,-2150.8405053038196,-4363.7818654231805,0.4011636385803788,0.045059817337269506
84,0.42500000000000027,300.4361670354704,-2451.2763409172762,-2150.8401738818056,-4354.5614840216085,0.4005815560472939,0.04537819158644371
85,0.43000000000000027,299.8558784196264,-2450.6946813988075,-2150.8388029791813,-4343.394642644157,0.39980783789283514,0.04568779777703477
86,0.4350000000000003,299.15295730897617,-2449.988915507207,-2150.835958198231,-4330.644930219323,0.39887060974530153,0.045988421581965165
87,0.4400000000000003,298.37001774858203,-2449.2017391088657,-2150.8317213602836,-4317.010089202486,0.3978266903314427,0.04627977494762241
88,0.4450000000000003,297.5699086281761,-2448.3965398766672,-2150.826631248491,-4303.450167269671,0.39675987817090147,0.046561516262997836
89,0.4500000000000003,296.8279378407184,-2447.6493898938115,-2150.8214520530933,-4291.1107386788535,0.39577058378762453,0.04683328480795207
90,0.4550000000000003,296.220854814523,-2447.037756937672,-2150.816902123149,-4281.17512169397,0.39496113975269737,0.047094744968012935
91,0.4600000000000003,295.8163403382308,-2446.6297899525903,-2150.8134496143593,-4274.644049865655,0.3944217871176411,0.04734563238796657
92,0.4650000000000003,295.6654963273451,-2446.4768393312947,-2150.81134300395,-4272.270388875678,0.3942206617697935,0.04758579567009989
93,0.4700000000000003,295.79871793912304,-2446.6093786119422,-2150.8106606728193,-4274.4717677832705,0.39439829058549736,0.04781522923942932
94,0.4750000000000003,296.2239490344069,-2447.035381817708,-2150.8114327833014,-4281.3157477861,0.3949652653792092,0.048034095073461236
95,0.4800000000000003,296.9260742122174,-2447.7397349281005,-2150.813660715883,-4292.5459144625565,0.3959014322829565,0.04824273262528748
96,0.4850000000000003,297.8668426524369,-2448.6841558782726,-2150.8173132258357,-4307.488366188829,0.3971557902032492,0.04844165576331568
97,0.4900000000000003,298.98556757315805,-2449.807825565442,-2150.822257992284,-4325.116679933068,0.3986474234308774,0.04863153528891215
98,0.49500000000000033,300.2016361539707,-2451.0297930624247,-2150.828156908454,-4344.118655380405,0.40026884820529424,0.048813165686390596
99,0.5000000000000003,301.4201047946438,-2452.2545261184614,-2150.8344213238174,-4362.980593847366,0.40189347305952505,0.048987416878173394
