TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
157,0.7900000000000006,381.8877835611819,-2057.507956266277,-1675.6201727050948,-3475.9740859379067,0.5091837114149091,0.16537956013352617
158,0.7950000000000006,380.9784064845901,-2056.597630068938,-1675.619223584348,-3452.586894369269,0.5079712086461201,0.16632685197539615
159,0.8000000000000006,379.9569381890533,-2055.5746216126163,-1675.617683423563,-3426.3801771136064,0.5066092509187377,0.16728228793559824
160,0.8050000000000006,378.84826004381284,-2054.4617227610233,-1675.6134627172105,-3397.8333545483792,0.5051310133917505,0.16824471080567505
161,0.8100000000000006,377.7104583543771,-2053.3171159666526,-1675.6066576122755,-3367.9430186027103,0.5036139444725027,0.16921277519231376
162,0.8150000000000006,376.63518128803065,-2052.2342133738125,-1675.5990320857818,-3338.1104534075293,0.5021802417173742,0.17018504725389738
163,0.8200000000000006,375.7247315125972,-2051.317466788715,-1675.592735276118,-3309.89921866214,0.5009663086834629,0.17116012318780333
164,0.8250000000000006,375.0618614584529,-2050.6513671233315,-1675.5895056648787,-3284.609635699131,0.5000824819446038,0.1721367491701051
165,0.8300000000000006,374.685010801468,-2050.2751973316767,-1675.5901865302087,-3262.907430132531,0.4995800144019573,0.17311392009593474
166,0.8350000000000006,374.57571269364064,-2050.1704092421396,-1675.594696548499,-3244.614511753369,0.49943428359152087,0.17409093848493018
167,0.8400000000000006,374.6602997797224,-2050.2623072125184,-1675.602007432796,-3228.805114687665,0.4995470663729632,0.17506742386546656
168,0.8450000000000006,374.82524462009,-2050.435623468893,-1675.610378848803,-3213.9969278213157,0.4997669928267867,0.17604327053590277
169,0.8500000000000006,374.9429054988689,-2050.560672884035,-1675.617767385166,-3198.4943471457323,0.4999238739984919,0.17701856498919455
170,0.8550000000000006,374.90123550805674,-2050.523683157149,-1675.6224476490925,-3180.8132345420713,0.49986831401074233,0.17799348380827135
171,0.8600000000000007,374.6285888429157,-2050.25221607493,-1675.6236272320143,-3160.0593560992716,0.4995047851238876,0.17896819683822
172,0.8650000000000007,374.10541434335056,-2049.72703370336,-1675.6216193600096,-3136.094661832493,0.4988072191244674,0.17994279747011852
173,0.8700000000000007,373.3598786000187,-2048.9775526529497,-1675.617674052931,-3109.415631468001,0.4978131714666916,0.18091726897207008
174,0.8750000000000007,372.45124114051947,-2048.0644145103383,-1675.613173369819,-3080.9878868507067,0.4966016548540259,0.18189148644960834
175,0.8800000000000007,371.4498195336789,-2047.0590138162624,-1675.6091942825835,-3051.9691833771512,0.4952664260449052,0.182865239961396
176,0.8850000000000007,370.4210226459838,-2046.0273318539616,-1675.6063092079778,-3023.438017221472,0.49389469686131166,0.1838382655894434
177,0.8900000000000007,369.4161019075627,-2045.0207858504423,-1675.6046839428795,-2996.268867223649,0.4925548025434169,0.18481027306386133
178,0.8950000000000007,368.4686708198949,-2044.0729566533087,-1675.6042858334138,-2971.0930704997318,0.4912915610931932,0.18578096531194468
179,0.9000000000000007,367.59553139139143,-2043.200244899013,-1675.6047135076215,-2948.309855226149,0.4901273751885219,0.186750049943043
180,0.9050000000000007,366.80254507065166,-2042.407746940955,-1675.6052018703033,-2928.1473912374463,0.4890700600942022,0.18771724433063833
181,0.9100000000000007,366.0954374127246,-2041.7002593861082,-1675.6048219733837,-2910.7656532984324,0.48812724988363276,0.1886822780630539
182,0.9150000000000007,365.49233757260725,-2041.0952507165684,-1675.6029131439611,-2896.498700992459,0.48732311676347634,0.1896448959506734
183,0.9200000000000007,365.0324678769764,-2040.6318785113529,-1675.5994106343765,-2885.923727423732,0.4867099571693018,0.19060486850143768
184,0.9250000000000007,364.77606003569946,-2040.3710547129515,-1675.594994677252,-2879.872400750659,0.4863680800475993,0.19156201396715905
185,0.9300000000000007,364.7940456895845,-2040.3849267704688,-1675.5908810808844,-2879.255469684691,0.486392060919446,0.19251623099360543
186,0.9350000000000007,365.1495273467863,-2040.7381238450012,-1675.5885964982149,-2884.843350978762,0.48686603646238164,0.19346753705883188
187,0.9400000000000007,365.87586861173963,-2041.4652627425594,-1675.5893941308198,-2896.957215352777,0.4878344914823195,0.19441610354671318
188,0.9450000000000007,366.95929060537964,-2042.5529180790293,-1675.5936274736496,-2915.220369786147,0.48927905414050615,0.19536227447022061
189,0.9500000000000007,368.3342422825279,-2043.9347560715025,-1675.6005137889747,-2938.493628120684,0.4911123230433705,0.19630655973994687
190,0.9550000000000007,369.89536894688064,-2045.5037062811916,-1675.608337334311,-2965.0822303679147,0.4931938252625075,0.19724960142567574
191,0.9600000000000007,371.52207323981344,-2047.1373237915645,-1675.6152505517512,-2993.0476795333843,0.49536276431975124,0.19819212202139172
192,0.9650000000000007,373.1051973948118,-2048.7252320383236,-1675.6200346435119,-3020.595531815232,0.4974735965264157,0.19913487335918306
193,0.9700000000000008,374.5656004739447,-2050.187956170035,-1675.6223556960902,-3046.376915917624,0.49942080063192623,0.20007860040750844
194,0.9750000000000008,375.8608951331481,-2051.483342999398,-1675.6224478662498,-3069.5896601009467,0.5011478601775308,0.20102402606191278
195,0.9800000000000008,376.98392487666536,-2052.6045404887705,-1675.6206156121052,-3089.937750360789,0.5026452331688871,0.2019718513031141
196,0.9850000000000008,377.95821890384985,-2053.575476065338,-1675.6172571614882,-3107.574453425346,0.5039442918717998,0.20292276143209712
197,0.9900000000000008,378.8312728406982,-2054.44443065154,-1675.613157810842,-3123.020635660378,0.5051083637875976,0.20387743270487332
198,0.9950000000000008,379.66156958473204,-2055.271336944477,-1675.6097673597449,-3136.972905544046,0.5062154261129761,0.20483654106451157
199,1.0000000000000007,380.4968583243289,-2056.105726888889,-1675.60886856456,-3149.9910606446597,0.5073291444324385,0.205800772385025
200,1.0050000000000006,381.3495439399583,-2056.961123466486,-1675.6115795265275,-3162.1994174245456,0.5084660585866111,0.20677082596713897
201,1.0100000000000005,382.1813270920524,-2057.7990881246255,-1675.617761032573,-3172.970658040635,0.5095751027894032,0.2077473969217403
202,1.0150000000000003,382.9055583126875,-2058.531682603651,-1675.6261242909636,-3181.043327230346,0.5105407444169167,0.20873112714226996
203,1.0200000000000002,383.40616716527325,-2059.0409581191934,-1675.6347909539202,-3184.7767414868767,0.5112082228870309,0.20972252794537838
204,1.0250000000000001,383.5659937201186,-2059.2076970253424,-1675.641703305224,-3182.576408968385,0.5114213249601581,0.21072189246893464
205,1.03,383.2980676883224,-2058.9428844535314,-1675.644816765209,-3173.241537817232,0.5110640902510966,0.21172922228630928
206,1.035,382.57496061306773,-2058.2176327484362,-1675.6426721353685,-3156.454046233227,0.5100999474840903,0.2127441963717701
207,1.0399999999999998,381.4477143186515,-2057.083010162162,-1675.6352958435104,-3133.049728464803,0.5085969524248686,0.21376620799337143
208,1.0449999999999997,380.042414864074,-2055.667216617073,-1675.6248017529988,-3104.8852188771284,0.5067232198187653,0.21479448372992532
209,1.0499999999999996,378.52768931726473,-2054.1426118807417,-1675.614922563477,-3074.4766149927586,0.504703585756353,0.21582826935997484
210,1.0549999999999995,377.0607637551904,-2052.670153670492,-1675.6093899153013,-3044.1865321474106,0.5027476850069205,0.2168670334095509
